ENSEMBLE,y_test
0.992163358,1
0.972512633,1
0.013612469,0
0.898251995,1
0.982092454,1
0.993579936,1
0.004509996,0
0.093970241,0
0.097248793,1
0.025228414,0
0.019353905,0
0.989455759,1
0.989791199,1
0.095704374,1
0.994167343,1
0.304253924,1
0.98925517,1
0.869058878,1
0.029490204,0
0.123736292,0
0.960822274,0
0.949986524,1
0.961997791,1
0.907879228,1
0.995661358,1
0.915981243,1
0.00681506,0
0.038834691,0
0.111120657,0
0.861146081,1
0.940595164,1
0.023955739,0
0.118319153,0
0.22330858,1
0.031206936,0
0.992567103,1
0.024625137,0
0.989304725,1
0.976175575,1
0.985817688,1
0.081724581,0
0.847564433,1
0.4747696,0
0.003314384,0
0.962439155,1
0.080112229,0
0.995043542,1
0.016813359,0
0.037494994,0
0.472558075,0
0.948611454,1
0.995506261,1
0.834433565,1
0.995921288,1
0.981078374,1
0.002683358,0
0.684019065,1
0.778540704,1
0.956059543,1
0.994071861,1
0.977909501,1
0.043054149,0
0.997004266,1
0.230870014,0
0.025901394,0
0.004304149,0
0.988794482,1
0.702680532,1
0.291486066,0
0.995436133,1
0.027983562,0
0.994135228,1
0.12876944,0
0.974392095,1
0.102622731,0
0.701483045,0
0.036055146,0
0.944449242,1
0.983713373,1
0.045555693,0
0.004600945,0
0.093634854,0
0.0225659,0
0.808556024,1
0.956765236,1
0.630905268,1
0.034600268,0
0.966312081,1
0.996696215,1
0.995882106,1
0.996207458,1
0.003063107,0
0.997545186,1
0.008028475,0
0.989769237,1
0.004135987,0
0.723793801,1
0.855280194,1
0.018001786,0
0.020129734,0
0.970197578,1
0.020223974,0
0.01591584,0
0.9878104,1
0.077453938,0
0.015986872,0
0.943454694,1
0.726185041,1
0.994669163,1
0.417132659,1
0.018999894,0
0.049637222,0
0.066411767,0
0.931274205,1
0.947050247,1
0.975687027,1
0.995724883,1
0.031222723,0
0.344038527,0
0.992417681,1
0.033321072,0
0.983422367,1
0.012264841,0
0.958549254,1
0.111500475,0
0.969045656,1
0.166834347,0
0.996353652,1
0.896183287,1
0.982872169,1
0.893565693,1
0.792857784,1
0.040596847,0
0.728664525,1
0.11381423,0
0.006612242,0
0.100473311,0
0.015722575,0
0.03426494,0
0.833240217,1
0.857935828,1
0.978438657,1
0.027953372,0
0.091199167,0
0.198272845,0
0.982101806,1
0.041117657,0
0.067215705,0
0.94138696,1
0.035336297,0
0.994294139,1
0.987447958,1
0.026316805,0
0.994840733,1
0.994368014,1
0.082229962,0
0.02877047,0
0.059960874,0
0.576678613,1
0.020978836,0
0.786922885,1
0.980700606,1
0.016308495,0
0.023477911,0
0.323717766,0
0.892172896,0
0.990177227,1
0.996207261,1
0.023459434,0
0.930881415,1
0.004270674,0
0.975336571,1
0.026611066,0
0.973360675,1
0.055380213,0
0.96498688,1
0.907616928,1
0.893766691,1
0.808963303,1
0.01453994,0
0.816737999,1
0.927765538,1
0.953327773,1
0.988161296,1
0.996788751,1
0.996698763,1
0.37142033,1
0.947347952,1
0.061831241,0
0.980660105,1
0.76456859,1
0.019790291,0
0.388543132,0
0.034736829,0
0.960305129,1
0.989703148,1
0.96889526,1
0.995136405,1
0.99116246,1
0.0159039,0
0.006745994,0
0.851192117,1
0.386521551,0
0.03252373,0
0.060504595,0
0.585091783,1
0.040379013,0
0.024062877,0
0.213737999,0
0.989735362,1
0.02881999,0
0.958972941,1
0.030780643,0
0.129958173,1
0.077718532,0
0.836016226,1
0.006132984,0
0.910435896,1
0.993440461,1
0.016583495,0
0.02148847,0
0.007369782,0
0.991827505,1
0.050998854,0
0.043096795,0
0.02396682,0
0.96348819,1
0.014188222,0
0.826199434,1
0.975716283,1
0.98090842,1
0.717327286,0
0.054164801,0
0.953310096,1
0.985543041,1
0.944035534,1
0.995258459,1
0.040800202,0
0.960987195,1
0.043073519,0
0.992425114,1
0.059873899,0
0.985168744,1
0.822988949,1
0.323855106,0
0.970147843,1
0.006334528,0
0.132637536,0
0.275703491,0
0.079249061,1
0.992462912,1
0.889204814,1
0.042027061,0
0.01327879,0
0.970757906,1
0.110950824,0
0.893956806,1
0.656436052,0
0.00469467,0
0.084926421,0
0.050058371,0
0.991276526,1
0.898435175,0
0.167724115,0
0.197561512,0
0.996478747,1
0.056144797,0
0.989627174,1
0.966723143,1
0.963258353,1
0.013073158,0
0.992505855,1
0.967951042,1
0.090726681,0
0.010504659,0
0.176837613,0
0.991446476,1
0.212806782,0
0.965864263,1
0.808718882,1
0.007649346,0
0.118413975,0
0.522816046,0
0.971639695,1
0.965172602,1
0.833254986,1
0.017413054,0
0.949704439,1
0.931795176,1
0.994334239,1
0.017257249,0
0.528198504,0
0.108781051,0
0.017400854,0
0.024204828,0
0.890834731,1
0.151130184,0
0.996425473,1
0.995024637,1
0.958674513,1
0.037054668,0
0.041553525,0
0.99252834,1
0.949015602,0
0.063115623,0
0.926827975,1
0.023933156,0
0.064748308,0
0.820776933,1
0.026014435,0
0.989261171,1
0.05882454,0
0.013579027,0
0.09088281,0
0.890732618,1
0.018278055,0
0.994024353,1
0.021499878,0
0.993935972,1
0.989959688,1
0.088373988,0
0.970699966,1
0.355949839,1
0.953229215,1
0.024417557,0
0.150197945,0
0.956281706,1
0.165291489,0
0.042954029,0
0.003721547,0
0.031990444,0
0.021363963,0
0.995830048,1
0.010133284,0
0.00653378,0
0.912298424,1
0.893943416,1
0.183708279,0
0.988287579,1
0.006167191,0
0.027778929,0
0.091320447,0
0.015300331,0
0.90611677,1
0.528970153,1
0.038497954,0
0.981861528,1
0.996929067,1
0.992610163,1
0.108677593,0
0.117386597,0
0.061783653,0
0.996567683,1
0.195852316,0
0.03681483,0
0.931272166,1
0.983622584,1
0.027451388,0
0.993038107,1
0.386914242,0
0.259537302,0
0.139400275,0
0.983221398,1
0.989145496,1
0.994405349,1
0.01704791,0
0.995889075,1
0.014779185,0
0.985180374,1
0.029649411,0
0.969573023,1
0.996661563,1
0.060155122,0
0.051905898,0
0.992590902,1
0.631450101,1
0.029502179,1
0.990755426,1
0.054491501,0
0.051495844,0
0.004835043,0
0.70506506,1
0.545542137,1
0.15136719,0
0.141561205,0
0.975283472,1
0.013416318,0
0.954751677,1
0.149478689,0
0.983055063,1
0.992470472,1
0.995813532,1
0.294426179,0
0.256675811,1
0.973073022,1
0.987236712,1
0.878713386,1
0.083782087,0
0.946004033,1
0.950773843,1
0.927652062,1
0.006330679,0
0.490984291,1
0.992688895,1
0.969184782,1
0.031171729,0
0.343954096,1
0.993027223,1
0.945108918,1
0.125677291,0
0.198345795,0
0.052368453,0
0.004106095,0
0.991885092,1
0.991052243,1
0.970194444,1
0.987166119,1
0.167296391,0
0.454433543,1
0.895952789,0
0.035457597,0
0.032975973,0
0.016282007,0
0.954422924,1
0.025520389,0
0.260276413,0
0.036816263,0
0.898404777,1
0.994941548,1
0.041288678,0
0.69948261,1
0.058068596,0
0.039369001,0
0.023718932,0
0.98744415,1
0.347805954,1
0.019748753,0
0.976285679,1
0.867987051,1
0.003306285,0
0.003889503,0
0.993919669,1
0.919422462,1
0.885607614,1
0.098483295,0
0.547553549,0
0.995223885,1
0.995230128,1
0.873110733,1
0.038969735,0
0.979941658,1
0.020301326,0
0.0334027,0
0.012061078,0
0.931232222,1
0.14426303,1
0.52365323,0
0.944175634,1
0.062384165,0
0.914945366,1
0.910984773,1
0.023168458,0
0.007873703,0
0.873525668,1
0.045286327,0
0.83010325,1
0.006237628,0
0.98034203,1
0.033543628,0
0.96625041,1
0.813400191,1
0.994937073,1
0.939813404,1
0.018316283,0
0.976854037,1
0.014459741,0
0.05932188,0
0.019367487,0
0.685214288,1
0.887742578,0
0.23415554,0
0.289683211,0
0.973067289,1
0.255551158,0
0.98229381,1
0.029494955,0
0.97373081,1
0.945734338,1
0.840964642,1
0.726491552,1
0.995199561,1
0.045949518,0
0.027959956,0
0.759895421,1
0.176565468,0
0.030250499,0
0.98189332,1
0.097160929,0
0.412882492,0
0.585327035,1
0.876160569,1
0.993933373,1
0.976152937,1
0.993571247,1
0.006294577,0
0.996739717,1
0.949067431,1
0.004567633,0
0.95949992,1
0.004223671,0
0.003615482,0
0.919648808,1
0.010030445,0
0.0616637,0
0.022309249,0
0.99654761,1
0.009736105,0
0.996909835,1
0.020782126,0
0.979773849,1
0.003986443,0
0.144563422,0
0.991477093,1
0.957332013,1
0.394176675,1
0.992664423,1
0.30695466,0
0.232868839,0
0.987254219,1
0.004261716,0
0.82472651,1
0.984597839,1
0.992788991,1
0.915845659,1
0.024866343,0
0.714362668,0
0.950641056,1
0.021660469,0
0.77989352,1
0.01425892,0
0.003731619,0
0.010977192,0
0.161229835,0
0.004632229,0
0.99176217,1
0.970792228,1
0.943205196,1
0.886027128,1
0.052008017,0
0.678470666,1
0.04831943,0
0.976870371,1
0.031150399,0
0.993363369,1
0.793337114,1
0.45210879,1
0.024453149,0
0.021413417,0
0.992985625,1
0.534945312,1
0.093450175,0
0.963020196,1
0.926881918,1
0.007678652,0
0.933808515,1
0.395702575,1
0.037719408,0
0.025795217,0
0.022128967,0
0.981554397,1
0.010125731,0
0.060795369,0
0.033159911,0
0.238001413,0
0.041985973,0
0.368672544,0
0.041390797,0
0.032254743,0
0.229812371,0
0.018875246,0
0.946577845,1
0.978462939,1
0.983950696,1
0.959931039,1
0.089137697,0
0.989199512,1
0.006021571,0
0.194981714,0
